step    8500 | total 102.350 | gen 2.044 | disc 0.172 | disc_acc 0.943 | rep 0.152 | mtok 23199 | util 0.737 | lr_m 4.25e-04 | lr_c 4.25e-05 | 3.99 step/s | mem 12.7GB
step    8600 | total 102.670 | gen 2.050 | disc 0.173 | disc_acc 0.943 | rep 0.152 | mtok 23121 | util 0.731 | lr_m 4.30e-04 | lr_c 4.30e-05 | 3.94 step/s | mem 12.7GB
step    8700 | total 101.271 | gen 2.022 | disc 0.170 | disc_acc 0.945 | rep 0.150 | mtok 23440 | util 0.727 | lr_m 4.35e-04 | lr_c 4.35e-05 | 3.99 step/s | mem 12.7GB
step    8800 | total 100.474 | gen 2.006 | disc 0.173 | disc_acc 0.943 | rep 0.150 | mtok 23205 | util 0.733 | lr_m 4.40e-04 | lr_c 4.40e-05 | 3.99 step/s | mem 12.7GB
step    8900 | total 101.335 | gen 2.023 | disc 0.172 | disc_acc 0.943 | rep 0.150 | mtok 22962 | util 0.735 | lr_m 4.45e-04 | lr_c 4.45e-05 | 3.98 step/s | mem 12.7GB
step    9000 | total 101.300 | gen 2.023 | disc 0.174 | disc_acc 0.942 | rep 0.150 | mtok 23140 | util 0.756 | lr_m 4.50e-04 | lr_c 4.50e-05 | 3.97 step/s | mem 12.7GB
step    9100 | total 101.521 | gen 2.027 | disc 0.186 | disc_acc 0.937 | rep 0.149 | mtok 22679 | util 0.789 | lr_m 4.55e-04 | lr_c 4.55e-05 | 3.97 step/s | mem 12.7GB
step    9200 | total 100.959 | gen 2.015 | disc 0.185 | disc_acc 0.938 | rep 0.149 | mtok 22589 | util 0.782 | lr_m 4.60e-04 | lr_c 4.60e-05 | 3.98 step/s | mem 12.7GB
step    9300 | total 97.046 | gen 1.937 | disc 0.182 | disc_acc 0.939 | rep 0.149 | mtok 23536 | util 0.793 | lr_m 4.65e-04 | lr_c 4.65e-05 | 3.98 step/s | mem 12.7GB
step    9400 | total 97.038 | gen 1.937 | disc 0.178 | disc_acc 0.940 | rep 0.150 | mtok 23656 | util 0.789 | lr_m 4.70e-04 | lr_c 4.70e-05 | 3.97 step/s | mem 12.7GB
step    9500 | total 97.073 | gen 1.938 | disc 0.178 | disc_acc 0.940 | rep 0.151 | mtok 23667 | util 0.787 | lr_m 4.75e-04 | lr_c 4.75e-05 | 3.98 step/s | mem 12.7GB
step    9600 | total 95.286 | gen 1.902 | disc 0.179 | disc_acc 0.941 | rep 0.147 | mtok 23572 | util 0.792 | lr_m 4.80e-04 | lr_c 4.80e-05 | 3.98 step/s | mem 12.7GB
step    9700 | total 95.310 | gen 1.903 | disc 0.178 | disc_acc 0.941 | rep 0.149 | mtok 23553 | util 0.784 | lr_m 4.85e-04 | lr_c 4.85e-05 | 3.93 step/s | mem 12.7GB
step    9800 | total 94.758 | gen 1.892 | disc 0.178 | disc_acc 0.941 | rep 0.148 | mtok 23521 | util 0.787 | lr_m 4.90e-04 | lr_c 4.90e-05 | 3.89 step/s | mem 12.7GB
step    9900 | total 94.845 | gen 1.893 | disc 0.178 | disc_acc 0.941 | rep 0.148 | mtok 23593 | util 0.782 | lr_m 4.95e-04 | lr_c 4.95e-05 | 3.94 step/s | mem 12.7GB
step   10000 | total 94.096 | gen 1.878 | disc 0.178 | disc_acc 0.941 | rep 0.147 | mtok 23630 | util 0.788 | lr_m 5.00e-04 | lr_c 5.00e-05 | 3.82 step/s | mem 12.7GB
[Val] step 10000 | val/gen_loss=1.9169 | val/disc_loss=0.1858 | val/total_loss=96.0298 | val/disc_acc=0.9414 | val/patch_util=0.7531
step   10100 | total 93.484 | gen 1.866 | disc 0.178 | disc_acc 0.941 | rep 0.147 | mtok 23670 | util 0.789 | lr_m 5.00e-04 | lr_c 5.00e-05 | 0.60 step/s | mem 12.7GB
step   10200 | total 92.942 | gen 1.855 | disc 0.178 | disc_acc 0.941 | rep 0.145 | mtok 23539 | util 0.792 | lr_m 5.00e-04 | lr_c 5.00e-05 | 4.04 step/s | mem 12.7GB
step   10300 | total 93.127 | gen 1.859 | disc 0.177 | disc_acc 0.942 | rep 0.146 | mtok 23481 | util 0.782 | lr_m 5.00e-04 | lr_c 5.00e-05 | 3.99 step/s | mem 12.7GB
step   10400 | total 92.822 | gen 1.853 | disc 0.177 | disc_acc 0.941 | rep 0.146 | mtok 23582 | util 0.786 | lr_m 5.00e-04 | lr_c 5.00e-05 | 4.04 step/s | mem 12.7GB
step   10500 | total 92.514 | gen 1.847 | disc 0.175 | disc_acc 0.943 | rep 0.146 | mtok 23571 | util 0.784 | lr_m 5.00e-04 | lr_c 5.00e-05 | 4.03 step/s | mem 12.7GB
step   10600 | total 92.245 | gen 1.841 | disc 0.178 | disc_acc 0.942 | rep 0.145 | mtok 23455 | util 0.791 | lr_m 5.00e-04 | lr_c 5.00e-05 | 4.02 step/s | mem 12.7GB
step   10700 | total 91.944 | gen 1.835 | disc 0.177 | disc_acc 0.942 | rep 0.145 | mtok 23569 | util 0.792 | lr_m 5.00e-04 | lr_c 5.00e-05 | 3.95 step/s | mem 12.7GB
step   10800 | total 92.173 | gen 1.840 | disc 0.176 | disc_acc 0.942 | rep 0.145 | mtok 23640 | util 0.790 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.01 step/s | mem 12.7GB
step   10900 | total 91.473 | gen 1.826 | disc 0.176 | disc_acc 0.943 | rep 0.145 | mtok 23713 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.01 step/s | mem 12.7GB
step   11000 | total 91.142 | gen 1.819 | disc 0.175 | disc_acc 0.943 | rep 0.144 | mtok 23584 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.00 step/s | mem 12.7GB
step   11100 | total 90.116 | gen 1.799 | disc 0.176 | disc_acc 0.943 | rep 0.142 | mtok 23296 | util 0.783 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.00 step/s | mem 12.7GB
step   11200 | total 90.321 | gen 1.803 | disc 0.175 | disc_acc 0.943 | rep 0.143 | mtok 23539 | util 0.785 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.00 step/s | mem 12.7GB
step   11300 | total 90.227 | gen 1.801 | disc 0.175 | disc_acc 0.943 | rep 0.142 | mtok 23492 | util 0.784 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.95 step/s | mem 12.7GB
step   11400 | total 90.506 | gen 1.807 | disc 0.176 | disc_acc 0.943 | rep 0.144 | mtok 23646 | util 0.786 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.96 step/s | mem 12.7GB
step   11500 | total 90.102 | gen 1.799 | disc 0.175 | disc_acc 0.943 | rep 0.141 | mtok 23500 | util 0.789 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.89 step/s | mem 12.7GB
step   11600 | total 89.816 | gen 1.793 | disc 0.175 | disc_acc 0.943 | rep 0.140 | mtok 23409 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.84 step/s | mem 12.7GB
step   11700 | total 89.249 | gen 1.781 | disc 0.175 | disc_acc 0.944 | rep 0.140 | mtok 23338 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 4.00 step/s | mem 12.7GB
step   11800 | total 89.454 | gen 1.786 | disc 0.175 | disc_acc 0.944 | rep 0.140 | mtok 23317 | util 0.786 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.99 step/s | mem 12.7GB
step   11900 | total 89.143 | gen 1.779 | disc 0.176 | disc_acc 0.943 | rep 0.139 | mtok 23135 | util 0.787 | lr_m 4.99e-04 | lr_c 4.99e-05 | 3.99 step/s | mem 12.7GB
